Admin2,Admin3,Admin4,Province,Partner,Municipality,Barangay,Household Latrines Construction Started,Construction of Household Latrines Completed,Relocation Latrines Completed,# of RC 143 Volunteers Trained on HP (PHAST & Simplified HP),Households with access to safe water supply,# of households reached on PHAST,Schools Identified,Schools WatSan Facilities Construction Started,Schools WatSan Facilities Completed,# Individuals trained in CHAST,# of students reached on CHAST,Community - Based WatSan Facilities,Additional Comments
PH063000000,PH063001000,PH063001016,Iloilo,British Red Cross,Ajuy,Pantalan Navarro,13,13,,7,,30,0,,,0,,0,
PH063000000,PH063001000,PH063001017,Iloilo,British Red Cross,Ajuy,Pedada,0,0,,5,,123,,,,,,,
PH063000000,PH063001000,PH063001018,Iloilo,British Red Cross,Ajuy,Pili,61,58,,8,0,264,0,0,,,,,
PH063000000,PH063001000,PH063001019,Iloilo,British Red Cross,Ajuy,Pinantan Diel,0,0,,5,,96,,,,,,,
PH063000000,PH063001000,PH063001020,Iloilo,British Red Cross,Ajuy,Pinantan Elizalde,0,0,,6,,0,0,,,,,,
PH063000000,PH063001000,PH063001021,Iloilo,British Red Cross,Ajuy,Pinay Espinosa,0,0,,5,,278,1,,,0,,,
PH063000000,PH063001000,PH063001022,Iloilo,British Red Cross,Ajuy,Poblacion,1,1,,5,,0,,,,,,,
PH063000000,PH063001000,PH063001023,Iloilo,British Red Cross,Ajuy,Progreso,38,38,,5,,222,0,,,0,,0,
PH063000000,PH063001000,PH063001024,Iloilo,British Red Cross,Ajuy,Puente Bunglas,0,0,,5,,254,,,,,,,
PH063000000,PH063001000,PH063001025,Iloilo,British Red Cross,Ajuy,Punta Buri,0,0,,5,,72,1,,,,,,
PH063000000,PH063001000,PH063001026,Iloilo,British Red Cross,Ajuy,Rojas,,0,,5,,0,,,,,,,
PH063000000,PH063001000,PH063001027,Iloilo,British Red Cross,Ajuy,San Antonio,50,50,,5,,116,0,,,0,,0,
PH063000000,PH063001000,PH063001028,Iloilo,British Red Cross,Ajuy,Silagon,25,25,,5,0,137,0,0,,0,,0,
PH063000000,PH063001000,PH063001029,Iloilo,British Red Cross,Ajuy,Santo Rosario,0,0,,5,,30,,,0,,,,
PH063000000,PH063001000,PH063001030,Iloilo,British Red Cross,Ajuy,Tagubanhan,0,0,,5,,37,1,,,,,,
PH063000000,PH063001000,PH063001031,Iloilo,British Red Cross,Ajuy,Taguhangin,24,23,,5,0,94,1,,,0,,0,
PH063000000,PH063001000,PH063001032,Iloilo,British Red Cross,Ajuy,Tanduyan,3,0,,5,,155,,,,,,,
PH063000000,PH063001000,PH063001033,Iloilo,British Red Cross,Ajuy,Tipacla,46,45,,5,0,118,0,0,,,,,
PH063000000,PH063001000,PH063001034,Iloilo,British Red Cross,Ajuy,Tubogan,0,0,,5,,93,,,,,,,
PH063000000,PH063001000,#N/A,Iloilo,British Red Cross,Ajuy,Poblacion Sur,,0,,5,,0,,,,0,,,
PH063000000,PH063005000,PH063005001,Iloilo,British Red Cross,Balasan,Aranjuez,0,0,,5,,119,,,,,,,
PH063000000,PH063005000,PH063005002,Iloilo,British Red Cross,Balasan,Bacolod,0,0,,5,,74,,,,,,,
PH063000000,PH063005000,PH063005003,Iloilo,British Red Cross,Balasan,Balanti-an,0,0,,5,,311,0,,,0,,,
PH063000000,PH063005000,PH063005004,Iloilo,British Red Cross,Balasan,Batuan,0,0,,7,,63,1,,,,,,
PH063000000,PH063005000,PH063005005,Iloilo,British Red Cross,Balasan,Cabalic,0,0,,5,,120,,,,,,,
PH063000000,PH063005000,PH063005006,Iloilo,British Red Cross,Balasan,Camambugan,50,46,,5,,135,1,,,,,,
PH063000000,PH063005000,PH063005007,Iloilo,British Red Cross,Balasan,Dolores,9,9,,5,,66,,,,,,,
PH063000000,PH063005000,PH063005008,Iloilo,British Red Cross,Balasan,Gimamanay,43,43,,5,,69,0,,,0,,0,
PH063000000,PH063005000,PH063005009,Iloilo,British Red Cross,Balasan,Ipil,0,0,,5,,149,,,,,,,
PH063000000,PH063005000,PH063005010,Iloilo,British Red Cross,Balasan,Kinalkalan,39,39,,5,,136,0,0,,,,,
PH063000000,PH063005000,PH063005011,Iloilo,British Red Cross,Balasan,Lawis,1,1,,5,,312,1,,,,,,
PH063000000,PH063005000,PH063005012,Iloilo,British Red Cross,Balasan,Malapoc,0,0,,5,,124,,,,,,,
PH063000000,PH063005000,PH063005013,Iloilo,British Red Cross,Balasan,Mamhut Norte,95,95,,5,,253,0,0,,0,,0,
PH063000000,PH063005000,PH063005015,Iloilo,British Red Cross,Balasan,Maya,38,38,,5,0,228,0,0,,0,,,
PH063000000,PH063005000,PH063005016,Iloilo,British Red Cross,Balasan,Pani-an,55,51,,6,,228,,,,,,,
PH063000000,PH063005000,PH063005017,Iloilo,British Red Cross,Balasan,Poblacion Norte,,0,,5,,0,,,,,,,
PH063000000,PH063005000,PH063005018,Iloilo,British Red Cross,Balasan,Poblacion Sur,0,0,,5,,260,0,,,,,,
PH063000000,PH063005000,PH063005019,Iloilo,British Red Cross,Balasan,Quiasan,0,0,,8,,65,1,,,,,,
PH063000000,PH063005000,PH063005020,Iloilo,British Red Cross,Balasan,Salong,0,0,,5,,134,,,,,,,
PH063000000,PH063005000,PH063005021,Iloilo,British Red Cross,Balasan,Salvacion,30,30,,6,0,115,0,0,,,,,
PH063000000,PH063005000,PH063005022,Iloilo,British Red Cross,Balasan,Tingui-an,66,66,0,5,,237,0,0,0,0,,0,
PH063000000,PH063005000,PH063005023,Iloilo,British Red Cross,Balasan,Zaragosa,59,59,,6,,152,0,,,0,,0,
PH063000000,PH063014000,PH063014003,Iloilo,Korean Red Cross,Carles,Asluman,,,,0,,0,,,,15,744,,
PH063000000,PH063014000,PH063014009,Iloilo,Korean Red Cross,Carles,Binuluangan,,,,0,,0,1,1,,11,360,,
PH063000000,PH063014000,PH063014010,Iloilo,Korean Red Cross,Carles,Bito-on,,,,0,,0,,,,5,420,,
PH063000000,PH063014000,PH063014019,Iloilo,Korean Red Cross,Carles,Cawayan,,,,0,,0,1,1,,14,1625,,
PH063000000,PH063014000,PH063014022,Iloilo,Korean Red Cross,Carles,Granada,,,,0,,0,,,,14,563,,
PH063000000,PH063014000,PH063014032,Iloilo,Korean Red Cross,Carles,Talingting,,,,0,,0,,,,14,498,,
PH063000000,PH063014000,#N/A,Iloilo,Korean Red Cross,Carles,Toong,,,,0,,0,1,1,,10,309,,
PH072200000,PH072209000,PH072209001,Cebu,German Red Cross,Bantayan,Atop-Atop,40,20,0,34,0,796,0,0,0,0,,0,0
PH072200000,PH072209000,PH072209003,Cebu,German Red Cross,Bantayan,Baod,54,54,0,33,,735,0,0,0,0,,2,
PH072200000,PH072209000,PH072209009,Cebu,German Red Cross,Bantayan,Guiwanon,56,54,2,34,,659,0,0,0,0,,3,
PH072200000,PH072209000,PH072209012,Cebu,German Red Cross,Bantayan,Kangkaibe,6,6,0,26,,660,0,0,0,0,,0,
PH072200000,PH072209000,PH072209016,Cebu,German Red Cross,Bantayan,Mojon,2,2,0,34,,713,0,,,0,,0,
PH072200000,PH072209000,PH072209026,Cebu,German Red Cross,Bantayan,Ticad (Pob.),1,1,0,0,,,0,0,0,0,,0,
PH072200000,PH072211000,PH072211002,Cebu,German Red Cross,City Of Bogo,Anonang Norte,69,69,0,5,,160,0,0,,0,,0,
PH072200000,PH072211000,PH072211003,Cebu,German Red Cross,City Of Bogo,Anonang Sur,75,75,0,5,,315,0,,,0,,2,
PH072200000,PH072211000,PH072211005,Cebu,German Red Cross,City Of Bogo,Binabag,117,117,0,6,,130,1,0,,0,,2,
PH072200000,PH072211000,PH072211015,Cebu,German Red Cross,City Of Bogo,Libertad,61,61,0,10,0,321,0,0,,,,2,
PH072200000,PH072211000,PH072211017,Cebu,German Red Cross,City Of Bogo,Malingin,116,116,0,6,0,160,1,1,,0,,2,
PH072200000,PH072211000,PH072211020,Cebu,German Red Cross,City Of Bogo,Odlot,62,62,0,7,0,302,0,0,,,,2,
PH072200000,PH072221000,PH072221002,Cebu,Taiwan Red Cross,Daanbantayan,Bagay,3,3,0,,,0,0,,,0,,0,
PH072200000,PH072221000,PH072221004,Cebu,Japanese Red Cross,Daanbantayan,Bateria,20,18,0,26,0,0,2,,,,,0,
PH072200000,PH072221000,PH072221005,Cebu,Japanese Red Cross,Daanbantayan,Bitoon,22,22,0,28,0,0,2,,,,,0,
PH072200000,PH072221000,PH072221006,Cebu,Japanese Red Cross,Daanbantayan,Calape,19,18,0,22,0,0,2,,,,,0,
PH072200000,PH072221000,PH072221009,Cebu,Japanese Red Cross,Daanbantayan,Lanao,0,0,,49,,0,1,,,,,,
PH072200000,PH072221000,PH072221012,Cebu,Japanese Red Cross,Daanbantayan,Malingin,7,6,,8,0,0,2,,,,,0,
PH072200000,PH072221000,PH072221015,Cebu,French Red Cross,Daanbantayan,Paypay,148,20,128,0,,0,0,0,0,0,,0,
PH072200000,PH072221000,PH072221020,Cebu,Taiwan Red Cross,Daanbantayan,Tominjao,3,3,0,,,,0,,,,,0,
PH072200000,PH072228000,PH072228001,Cebu,German Red Cross,Madridejos,Bunakan,30,27,0,19,0,579,0,0,,0,,3,
PH072200000,PH072228000,PH072228013,Cebu,German Red Cross,Madridejos,Tarong,3,3,0,17,,620,0,,,0,,4,
PH072200000,PH072243000,PH072243001,Cebu,IFRC,San Remigio,Anapog,36,36,0,,,,0,,,,,0,
PH072200000,PH072243000,PH072243002,Cebu,IFRC,San Remigio,Argawanon,129,129,0,0,,0,0,,0,,,0,
PH072200000,PH072243000,PH072243003,Cebu,IFRC,San Remigio,Bagtic,0,0,,0,,0,1,0,,0,,0,
PH072200000,PH072243000,PH072243004,Cebu,IFRC,San Remigio,Bancasan,51,51,,16,,356,0,,,0,,0,
PH072200000,PH072243000,PH072243005,Cebu,IFRC,San Remigio,Batad,62,62,,,,0,0,,,0,,0,
PH072200000,PH072243000,PH072243006,Cebu,IFRC,San Remigio,Busogon,0,0,,,,,,,,,,,
PH072200000,PH072243000,PH072243007,Cebu,IFRC,San Remigio,Calambua,0,0,,16,,258,0,,,,,0,
PH072200000,PH072243000,PH072243008,Cebu,IFRC,San Remigio,Canagahan,34,34,,,,,,,,,,,
PH072200000,PH072243000,PH072243009,Cebu,IFRC,San Remigio,Dapdap,38,38,,0,,0,0,,,,,0,
PH072200000,PH072243000,PH072243010,Cebu,IFRC,San Remigio,Gawaygaway,0,0,,,,,,,,,,,
PH072200000,PH072243000,PH072243011,Cebu,IFRC,San Remigio,Hagnaya,24,24,,0,,0,1,1,,0,,0,
PH072200000,PH072243000,PH072243012,Cebu,IFRC,San Remigio,Kayam,38,38,0,0,,0,1,1,,,,,
PH072200000,PH072243000,PH072243013,Cebu,IFRC,San Remigio,Kinawahan,4,4,,,,,,,,,,,
PH072200000,PH072243000,PH072243014,Cebu,IFRC,San Remigio,Lambusan,60,60,,,,0,,,,,,0,
PH072200000,PH072243000,PH072243015,Cebu,IFRC,San Remigio,Lawis,58,58,0,0,,0,0,0,0,0,,0,
PH072200000,PH072243000,PH072243016,Cebu,IFRC,San Remigio,Libaong,0,0,,8,,186,1,1,,,,0,
PH072200000,PH072243000,PH072243017,Cebu,IFRC,San Remigio,Looc,25,25,,0,,0,0,,,,,,
PH072200000,PH072243000,PH072243018,Cebu,IFRC,San Remigio,Luyang,13,12,,,,,,,,,,,
PH072200000,PH072243000,PH072243019,Cebu,IFRC,San Remigio,Mano,15,15,0,,,,0,,,,,0,
PH072200000,PH072243000,PH072243020,Cebu,IFRC,San Remigio,Poblacion,62,62,0,0,,0,0,0,0,0,,0,
PH072200000,PH072243000,PH072243021,Cebu,IFRC,San Remigio,Punta,48,48,,0,,0,0,,0,,,,
PH072200000,PH072243000,PH072243022,Cebu,IFRC,San Remigio,Sab-a,0,0,,,,0,1,,,0,,0,
PH072200000,PH072243000,PH072243023,Cebu,IFRC,San Remigio,San Miguel,44,5,,,,,,,,,,,
PH072200000,PH072243000,PH072243024,Cebu,IFRC,San Remigio,Tacup,52,52,,,,,,,,,,,
PH072200000,PH072243000,PH072243025,Cebu,IFRC,San Remigio,Tambongon,41,41,0,,,0,0,,,,,0,
PH072200000,PH072243000,PH072243026,Cebu,IFRC,San Remigio,To-ong,23,23,,0,,0,1,1,,0,,0,
PH072200000,PH072243000,PH072243027,Cebu,IFRC,San Remigio,Victoria,6,5,,,,,,,,,,,
PH082600000,PH082602000,PH082602002,Eastern Samar,Norwegian Red Cross,Balangiga,Cag-olango,38,38,,,,81,,0,0,,,0,
PH082600000,PH082602000,PH082602003,Eastern Samar,Norwegian Red Cross,Balangiga,Cansumangcay,116,116,,,,195,,0,0,,,0,
PH082600000,PH082602000,PH082602005,Eastern Samar,Norwegian Red Cross,Balangiga,Barangay Poblacion I,143,143,,,,201,,,,,,0,
PH082600000,PH082602000,PH082602006,Eastern Samar,Norwegian Red Cross,Balangiga,Barangay Poblacion II,14,14,,,,10,,,,,,,
PH082600000,PH082602000,PH082602007,Eastern Samar,Norwegian Red Cross,Balangiga,Barangay Poblacion III,60,60,,,,206,,0,0,,,0,
PH082600000,PH082602000,PH082602011,Eastern Samar,Norwegian Red Cross,Balangiga,San Miguel,204,204,,,,307,,,,,,0,
PH082600000,PH082602000,PH082602012,Eastern Samar,Norwegian Red Cross,Balangiga,Santa Rosa,165,165,,,,395,,0,0,,,0,
PH082600000,PH082608000,PH082608008,Eastern Samar,Norwegian Red Cross,Giporlos,Biga,104,104,,,,142,,,,,,0,
PH082600000,PH082608000,PH082608015,Eastern Samar,Norwegian Red Cross,Giporlos,President Roxas,45,45,,,,52,,0,0,,,,
PH082600000,PH082608000,PH082608017,Eastern Samar,Norwegian Red Cross,Giporlos,San Miguel,43,43,,,,53,,0,0,,,,
PH082600000,PH082608000,PH082608018,Eastern Samar,Norwegian Red Cross,Giporlos,Santa Cruz (Cansingkol),50,50,,,,0,,,,,,,
PH082600000,PH082608000,#N/A,Eastern Samar,Norwegian Red Cross,Giporlos,Santa Cruz,0,0,,,,57,,0,0,,,,
PH082600000,PH082609000,PH082609002,Eastern Samar,Norwegian Red Cross,Guiuan,Bagua,0,0,,,,94,,,,,,,
PH082600000,PH082609000,PH082609004,Eastern Samar,Norwegian Red Cross,Guiuan,Banahao,0,0,,,,160,,,,,,,
PH082600000,PH082609000,PH082609015,Eastern Samar,Norwegian Red Cross,Guiuan,Cantahay,0,0,,,,309,,,,,,,
PH082600000,PH082609000,PH082609018,Eastern Samar,Norwegian Red Cross,Guiuan,Cogon,0,0,,,,322,,,,,,,
PH082600000,PH082609000,PH082609022,Eastern Samar,Norwegian Red Cross,Guiuan,Gahoy,0,0,,,,190,,,,,,,
PH082600000,PH082609000,PH082609055,Eastern Samar,Norwegian Red Cross,Guiuan,Timala,0,0,,,,90,,,,,,,
PH082600000,PH082609000,PH082609064,Eastern Samar,Norwegian Red Cross,Guiuan,Tagporo,0,0,,,,90,,,,,,,
PH082600000,PH082609000,#N/A,Eastern Samar,Norwegian Red Cross,Guiuan,Cagdarao,0,0,,,,75,,0,0,,,,
PH082600000,PH082612000,PH082612004,Eastern Samar,Norwegian Red Cross,Lawaan,Guinob-an,65,65,,,,201,,,,,,0,
PH082600000,PH082612000,PH082612020,Eastern Samar,Norwegian Red Cross,Lawaan,San Isidro,0,0,,,,25,,0,0,,,,
PH082600000,PH082616000,PH082616001,Eastern Samar,Norwegian Red Cross,Mercedes,Anuron,80,80,,,,132,,0,0,,,,
PH082600000,PH082616000,PH082616002,Eastern Samar,Norwegian Red Cross,Mercedes,Banuyo,45,45,,,,75,,0,0,,,,
PH082600000,PH082616000,PH082616003,Eastern Samar,Norwegian Red Cross,Mercedes,Bobon,32,32,,,,50,,0,0,,,,
PH082600000,PH082616000,PH082616006,Eastern Samar,Norwegian Red Cross,Mercedes,Cabunga-an,35,35,,,,51,,0,0,,,,
PH082600000,PH082616000,PH082616007,Eastern Samar,Norwegian Red Cross,Mercedes,Cambante,54,54,,,,71,,0,0,,,,
PH082600000,PH082616000,PH082616011,Eastern Samar,Norwegian Red Cross,Mercedes,San Jose,46,46,,,,78,,0,0,,,,
PH082600000,PH082616000,PH082616012,Eastern Samar,Norwegian Red Cross,Mercedes,Sung-an,70,70,,,,114,,0,0,,,,
PH082600000,PH082616000,PH082616016,Eastern Samar,Norwegian Red Cross,Mercedes,San Roque,50,50,,,,91,,0,0,,,,
PH082600000,PH082616000,#N/A,Eastern Samar,Norwegian Red Cross,Mercedes,4,37,37,,,,61,,0,0,,,,
PH082600000,PH082616000,#N/A,Eastern Samar,Norwegian Red Cross,Mercedes,Palamrag,82,82,,,,91,,0,0,,,,
PH082600000,PH082618000,PH082618001,Eastern Samar,Norwegian Red Cross,Quinapondan,Anislag,75,75,,,,59,,0,0,,,,
PH082600000,PH082618000,PH082618014,Eastern Samar,Norwegian Red Cross,Quinapondan,Naga,58,58,,,,60,,,,,,,
PH082600000,PH082618000,PH082618024,Eastern Samar,Norwegian Red Cross,Quinapondan,Barangay No. 6 (Pob.),72,72,,,,70,0,0,0,,,,
PH082600000,PH082618000,PH082618025,Eastern Samar,Norwegian Red Cross,Quinapondan,Barangay No. 7 (Pob.),117,117,,,,105,,0,0,,,,
PH082600000,PH082618000,#N/A,Eastern Samar,Norwegian Red Cross,Quinapondan,Cantino,29,29,,,,29,,0,0,,,,
PH082600000,PH082618000,#N/A,Eastern Samar,Norwegian Red Cross,Quinapondan,Mabini,32,32,,,,35,,0,0,,,,
PH082600000,PH082618000,#N/A,Eastern Samar,Norwegian Red Cross,Quinapondan,Palactad,70,70,,,,91,0,0,0,,,,
PH082600000,PH082619000,PH082619002,Eastern Samar,Norwegian Red Cross,Salcedo,Alog,20,20,,,,46,,,,,,,
PH082600000,PH082619000,PH082619023,Eastern Samar,Norwegian Red Cross,Salcedo,Cagaut,79,79,,,,166,0,,0,,,0,
PH082600000,PH082619000,PH082619026,Eastern Samar,Norwegian Red Cross,Salcedo,Carapdapan,35,35,,,,23,,0,0,,,,
PH082600000,PH082619000,PH082619033,Eastern Samar,Norwegian Red Cross,Salcedo,Maliwaliw,56,56,,,,61,,0,0,,,,
PH082600000,PH082619000,PH082619035,Eastern Samar,Norwegian Red Cross,Salcedo,Matarinao,68,68,,,,70,,,,,,,
PH082600000,PH082619000,PH082619037,Eastern Samar,Norwegian Red Cross,Salcedo,Naparaan,95,65,,,,113,,0,0,,,,
PH082600000,PH082619000,PH082619041,Eastern Samar,Norwegian Red Cross,Salcedo,Seguinon,33,33,,,,54,,0,0,,,0,
PH082600000,PH082619000,PH082619049,Eastern Samar,Norwegian Red Cross,Salcedo,Tacla-on,54,54,,,,60,,,,,,,
PH082600000,PH082619000,PH082619052,Eastern Samar,Norwegian Red Cross,Salcedo,Talangdawan,35,35,,,,125,0,0,0,,,0,
PH082600000,PH082619000,#N/A,Eastern Samar,Norwegian Red Cross,Salcedo,Casilion,74,74,,,,101,0,0,0,,,0,
PH082600000,PH082619000,#N/A,Eastern Samar,Norwegian Red Cross,Salcedo,San Roque,35,35,,,,60,,,,,,,
PH082600000,PH082619000,#N/A,Eastern Samar,Norwegian Red Cross,Salcedo,Tacbacan,58,58,,,,83,,,,,,,
PH082600000,#N/A,#N/A,Eastern Samar,ICRC,Homonhon,Bitaugan,24,24,,,,60,,0,0,,,0,
PH082600000,#N/A,#N/A,Eastern Samar,ICRC,Homonhon,Cagusuan,52,52,,,,56,,0,0,,,0,
PH082600000,#N/A,#N/A,Eastern Samar,ICRC,Homonhon,Canawayon,47,47,,,,50,,0,0,,,,
PH082600000,#N/A,#N/A,Eastern Samar,ICRC,Homonhon,Casuguran,65,65,,,,113,,0,0,,,0,
PH082600000,#N/A,#N/A,Eastern Samar,ICRC,Homonhon,Culasi,43,43,,,,49,,0,0,,,0,
PH082600000,#N/A,#N/A,Eastern Samar,Norwegian Red Cross,Gen. McArthur,Aguinaldo,63,60,,,,100,,0,0,,,,
PH082600000,#N/A,#N/A,Eastern Samar,Norwegian Red Cross,Gen. McArthur,Binalay,0,0,,,,160,,,,,,,
PH082600000,#N/A,#N/A,Eastern Samar,Norwegian Red Cross,Gen. McArthur,Domrog,73,70,,,,160,,0,0,,,,
PH082600000,#N/A,#N/A,Eastern Samar,Norwegian Red Cross,Gen. McArthur,Osmena,42,36,,,,42,,0,0,,,,
PH082600000,#N/A,#N/A,Eastern Samar,Norwegian Red Cross,Gen. McArthur,Quirino,4,0,,,,36,,0,0,,,,
PH082600000,#N/A,#N/A,Eastern Samar,Norwegian Red Cross,Gen. McArthur,Roxas,27,20,,,,50,,0,0,,,,
PH082600000,#N/A,#N/A,Eastern Samar,Norwegian Red Cross,Gen. McArthur,San Roque,0,0,,,,19,,,,,,,
PH082600000,#N/A,#N/A,Eastern Samar,Norwegian Red Cross,Gen. McArthur,Santa Cruz,0,0,,,,78,,0,0,,,,
PH082600000,#N/A,#N/A,Eastern Samar,Norwegian Red Cross,Gen. McArthur,Santa Fe,13,13,,,,27,,0,0,,,,
PH082600000,#N/A,#N/A,Eastern Samar,Norwegian Red Cross,Gen. McArthur,Tugop,25,19,,,,44,,0,0,,,,
PH082600000,#N/A,#N/A,Eastern Samar,Norwegian Red Cross,Gen. McArthur,Vigan,0,0,,,,143,,,,,,,
PH083700000,PH083702000,PH083702001,Leyte,American Red Cross,Alangalang,Aslum,5,3,,,,135,1,0,,,,0,
PH083700000,PH083702000,PH083702002,Leyte,American Red Cross,Alangalang,Astorga (Burabod),23,14,,0,,225,1,0,0,,,0,
PH083700000,PH083702000,PH083702024,Leyte,American Red Cross,Alangalang,Hubang,47,19,,0,,385,1,0,0,,,0,
PH083700000,PH083702000,PH083702033,Leyte,American Red Cross,Alangalang,Peñalosa,6,6,,,,196,1,0,0,,,5,
PH083700000,PH083702000,PH083702043,Leyte,American Red Cross,Alangalang,Santiago,10,8,,0,,47,1,0,,,,1,
PH083700000,PH083706000,PH083706001,Leyte,IFRC,Barugo,Abango,58,58,,,,,1,1,1,16,,,
PH083700000,PH083706000,PH083706002,Leyte,IFRC,Barugo,Amahit,0,0,,,,,1,1,1,20,,,
PH083700000,PH083706000,PH083706006,Leyte,IFRC,Barugo,Bukid,85,85,0,0,,,1,1,1,16,,0,
PH083700000,PH083706000,PH083706007,Leyte,IFRC,Barugo,Bulod,23,23,,,,0,0,,,,,0,
PH083700000,PH083706000,PH083706008,Leyte,IFRC,Barugo,Busay,28,28,,,,,0,0,0,0,,,
PH083700000,PH083706000,PH083706010,Leyte,IFRC,Barugo,Calingcaguing,50,42,,,,,,,,,,,
PH083700000,PH083706000,PH083706011,Leyte,IFRC,Barugo,Can-isak,40,40,,,,,1,1,1,16,,,
PH083700000,PH083706000,PH083706014,Leyte,IFRC,Barugo,Guindaohan,51,51,,,,0,0,,,,,0,
PH083700000,PH083706000,PH083706015,Leyte,IFRC,Barugo,Hiagsam,9,9,,,,,,,0,,,,
PH083700000,PH083706000,PH083706016,Leyte,IFRC,Barugo,Hilaba,45,45,,,,,,,,,,,
PH083700000,PH083706000,PH083706017,Leyte,IFRC,Barugo,Hinugayan,2,0,,,,,,,,,,,
PH083700000,PH083706000,PH083706020,Leyte,IFRC,Barugo,Minuswang,10,0,,,,,,,,,,,
PH083700000,PH083706000,PH083706021,Leyte,IFRC,Barugo,Pikas,73,73,,0,,0,1,1,1,16,,0,
PH083700000,PH083706000,PH083706022,Leyte,IFRC,Barugo,Pitogo,40,40,,0,,,0,0,,,,,
PH083700000,PH083706000,PH083706029,Leyte,IFRC,Barugo,Pongso,5,5,,,,,,,,,,,
PH083700000,PH083706000,PH083706031,Leyte,IFRC,Barugo,Roosevelt,39,39,,0,,,0,0,,,,,
PH083700000,PH083706000,PH083706033,Leyte,IFRC,Barugo,Santa Rosa,12,12,,,,,0,0,0,,,,
PH083700000,PH083706000,PH083706035,Leyte,IFRC,Barugo,Tutug-an,18,18,,0,,0,0,,,,,0,
PH083700000,PH083706000,PH083706036,Leyte,IFRC,Barugo,Cabarasan,33,33,,,,0,0,,,,,0,
PH083700000,PH083706000,PH083706037,Leyte,IFRC,Barugo,Cuta,22,22,,,,,,,0,,,,
PH083700000,PH083706000,PH083706039,Leyte,IFRC,Barugo,San Roque,9,7,,,,,,,,,,,
PH083700000,PH083706000,#N/A,Leyte,IFRC,Barugo,Caboloan,20,20,,,,,0,0,0,0,,,
PH083700000,PH083706000,#N/A,Leyte,IFRC,Barugo,Poblacion 1,5,5,,,,,0,,0,,,,
PH083700000,PH083706000,#N/A,Leyte,IFRC,Barugo,Poblacion 2,11,11,,,,,0,0,0,0,,,
PH083700000,PH083706000,#N/A,Leyte,IFRC,Barugo,Poblacion 3,27,27,,,,,0,,0,,,,
PH083700000,PH083706000,#N/A,Leyte,IFRC,Barugo,New Road,10,0,,,,,,,,,,,
PH083700000,PH083710000,#N/A,Leyte,IFRC,Burauen,Model House,9,1,,,,,,,0,,,,
PH083700000,PH083713000,PH083713001,Leyte,Australian Red Cross,Calubian,Abanilla,35,35,,0,,,0,0,0,,,,
PH083700000,PH083713000,PH083713053,Leyte,Australian Red Cross,Calubian,Tagharigue,15,15,,0,,,0,0,,,,,
PH083700000,PH083715000,PH083715003,Leyte,IFRC,Carigara,Barugohay Central,56,56,,0,,0,0,,0,,,0,
PH083700000,PH083715000,PH083715004,Leyte,IFRC,Carigara,Barugohay Norte,94,94,,,,0,0,0,0,,,0,
PH083700000,PH083715000,PH083715008,Leyte,IFRC,Carigara,Bislig,41,41,,0,,0,0,,,,,0,
PH083700000,PH083715000,PH083715015,Leyte,IFRC,Carigara,Cutay,,,,,,,,,,,,,
PH083700000,PH083715000,PH083715025,Leyte,IFRC,Carigara,Manloy,75,75,,0,,,0,0,,,,,
PH083700000,PH083715000,PH083715030,Leyte,IFRC,Carigara,Piloro,24,19,,,,,,,,,,,
PH083700000,PH083715000,PH083715042,Leyte,IFRC,Carigara,Uyawan,39,39,,0,,0,0,,,,,0,
PH083700000,PH083715000,PH083715045,Leyte,IFRC,Carigara,San Juan,,,,,,,,,,,,,
PH083700000,PH083715000,PH083715047,Leyte,IFRC,Carigara,Canfabi,10,2,,,,,,,,,,,
PH083700000,PH083717000,PH083717003,Leyte,IFRC,Dagami,Balilit,98,98,,,,,0,0,0,0,,,
PH083700000,PH083717000,PH083717005,Leyte,IFRC,Dagami,Bayabas,22,22,,,,,,,,,,,
PH083700000,PH083717000,PH083717008,Leyte,IFRC,Dagami,Buntay,45,45,,,,0,0,,,,,0,
PH083700000,PH083717000,PH083717009,Leyte,IFRC,Dagami,Caanislagan,7,7,,0,,0,0,,,,,0,
PH083700000,PH083717000,PH083717013,Leyte,IFRC,Dagami,Calipayan,5,5,,0,,0,0,,,,,0,
PH083700000,PH083717000,PH083717016,Leyte,IFRC,Dagami,Calutan,30,30,0,0,,,0,0,0,0,,0,
PH083700000,PH083717000,PH083717024,Leyte,IFRC,Dagami,Hilabago,9,9,,0,,,0,,,,,,
PH083700000,PH083717000,PH083717028,Leyte,IFRC,Dagami,Katipunan,20,20,,0,,0,0,,,,,0,
PH083700000,PH083717000,PH083717034,Leyte,IFRC,Dagami,Ormocay,26,26,,0,,,0,,,,,,
PH083700000,PH083717000,PH083717036,Leyte,IFRC,Dagami,Panda,1,1,,0,,0,0,,,,,0,
PH083700000,PH083717000,PH083717037,Leyte,IFRC,Dagami,Patoc,20,20,,0,,0,0,,,,,0,
PH083700000,PH083717000,PH083717061,Leyte,IFRC,Dagami,Paraiso,39,39,,0,,,0,,0,,,,
PH083700000,PH083717000,PH083717064,Leyte,IFRC,Dagami,Talinhugon,16,16,,0,,,0,,,,,,
PH083700000,PH083717000,PH083717065,Leyte,IFRC,Dagami,Tuya,19,19,,0,,,0,,,,,,
